Region/country/area,Indicator,Year,Renewable energy share of electricity capacity and generation (%)
Colombia,RE share of electricity capacity (%),2023,69.71
Colombia,RE share of electricity capacity (%),2024,70.38
Colombia,RE share of electricity generation (%),2019,70.11
Colombia,RE share of electricity generation (%),2020,65.54
Colombia,RE share of electricity generation (%),2021,74.38
Colombia,RE share of electricity generation (%),2022,75.58
Colombia,RE share of electricity generation (%),2023,67.2
Colombia,RE share of electricity generation (%),2024,-
Comoros (the),RE share of electricity capacity (%),2019,10.79
Comoros (the),RE share of electricity capacity (%),2020,10.74
Comoros (the),RE share of electricity capacity (%),2021,18.21
Comoros (the),RE share of electricity capacity (%),2022,17.18
Comoros (the),RE share of electricity capacity (%),2023,17.3
Comoros (the),RE share of electricity capacity (%),2024,17.3
Comoros (the),RE share of electricity generation (%),2019,3.22
Comoros (the),RE share of electricity generation (%),2020,3.18
Comoros (the),RE share of electricity generation (%),2021,8.75
Comoros (the),RE share of electricity generation (%),2022,7.97
Comoros (the),RE share of electricity generation (%),2023,8.05
Comoros (the),RE share of electricity generation (%),2024,-
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2019,98.8
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2020,98.8
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2021,98.8
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2022,97.51
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2023,97.65
Democratic Republic of the Congo (the),RE share of electricity capacity (%),2024,88.62
Democratic Republic of the Congo (the),RE share of electricity generation (%),2019,99.1
Democratic Republic of the Congo (the),RE share of electricity generation (%),2020,99.94
Democratic Republic of the Congo (the),RE share of electricity generation (%),2021,99.98
Democratic Republic of the Congo (the),RE share of electricity generation (%),2022,99.96
Democratic Republic of the Congo (the),RE share of electricity generation (%),2023,99.95
Democratic Republic of the Congo (the),RE share of electricity generation (%),2024,-
Congo (the),RE share of electricity capacity (%),2019,34.64
Congo (the),RE share of electricity capacity (%),2020,27.53
Congo (the),RE share of electricity capacity (%),2021,27.53
Congo (the),RE share of electricity capacity (%),2022,27.54
Congo (the),RE share of electricity capacity (%),2023,27.55
Congo (the),RE share of electricity capacity (%),2024,26.67
Congo (the),RE share of electricity generation (%),2019,40.67
Congo (the),RE share of electricity generation (%),2020,40.67
Congo (the),RE share of electricity generation (%),2021,40.67
Congo (the),RE share of electricity generation (%),2022,40.68
Congo (the),RE share of electricity generation (%),2023,40.68
Congo (the),RE share of electricity generation (%),2024,-
Cook Islands (the),RE share of electricity capacity (%),2019,23.29
Cook Islands (the),RE share of electricity capacity (%),2020,23.29
Cook Islands (the),RE share of electricity capacity (%),2021,23.29
Cook Islands (the),RE share of electricity capacity (%),2022,23.29
Cook Islands (the),RE share of electricity capacity (%),2023,23.12
Cook Islands (the),RE share of electricity capacity (%),2024,23.12
Cook Islands (the),RE share of electricity generation (%),2019,25.06
Cook Islands (the),RE share of electricity generation (%),2020,26.21
Cook Islands (the),RE share of electricity generation (%),2021,21.14
Cook Islands (the),RE share of electricity generation (%),2022,19.14
Cook Islands (the),RE share of electricity generation (%),2023,21.54
Cook Islands (the),RE share of electricity generation (%),2024,-
Costa Rica,RE share of electricity capacity (%),2019,86.9
Costa Rica,RE share of electricity capacity (%),2020,86.82
Costa Rica,RE share of electricity capacity (%),2021,88.19
Costa Rica,RE share of electricity capacity (%),2022,89.17
Costa Rica,RE share of electricity capacity (%),2023,89.35
Costa Rica,RE share of electricity capacity (%),2024,85.89
Costa Rica,RE share of electricity generation (%),2019,99.16
Costa Rica,RE share of electricity generation (%),2020,99.8
Costa Rica,RE share of electricity generation (%),2021,99.98
Costa Rica,RE share of electricity generation (%),2022,99.28
Costa Rica,RE share of electricity generation (%),2023,94.96
Costa Rica,RE share of electricity generation (%),2024,-
Côte d'Ivoire,RE share of electricity capacity (%),2019,39.46
Côte d'Ivoire,RE share of electricity capacity (%),2020,39.52
Côte d'Ivoire,RE share of electricity capacity (%),2021,38.86
Côte d'Ivoire,RE share of electricity capacity (%),2022,34.66
Côte d'Ivoire,RE share of electricity capacity (%),2023,31.45
Côte d'Ivoire,RE share of electricity capacity (%),2024,31.45
Côte d'Ivoire,RE share of electricity generation (%),2019,32.84
Côte d'Ivoire,RE share of electricity generation (%),2020,30.17
Côte d'Ivoire,RE share of electricity generation (%),2021,23.06
Côte d'Ivoire,RE share of electricity generation (%),2022,23.65
Côte d'Ivoire,RE share of electricity generation (%),2023,24.23
Côte d'Ivoire,RE share of electricity generation (%),2024,-
Croatia,RE share of electricity capacity (%),2019,65.12
Croatia,RE share of electricity capacity (%),2020,69.81
Croatia,RE share of electricity capacity (%),2021,71.62
Croatia,RE share of electricity capacity (%),2022,72.07
Croatia,RE share of electricity capacity (%),2023,73.98
Croatia,RE share of electricity capacity (%),2024,77.08
Croatia,RE share of electricity generation (%),2019,65.41
Croatia,RE share of electricity generation (%),2020,63.88
Croatia,RE share of electricity generation (%),2021,69.22
Croatia,RE share of electricity generation (%),2022,62.94
Croatia,RE share of electricity generation (%),2023,69.71
Croatia,RE share of electricity generation (%),2024,-
Cuba,RE share of electricity capacity (%),2019,9.29
Cuba,RE share of electricity capacity (%),2020,11.61
Cuba,RE share of electricity capacity (%),2021,11.96
Cuba,RE share of electricity capacity (%),2022,12.61
Cuba,RE share of electricity capacity (%),2023,12
Cuba,RE share of electricity capacity (%),2024,12.16
Cuba,RE share of electricity generation (%),2019,4.38
Cuba,RE share of electricity generation (%),2020,4.98
Cuba,RE share of electricity generation (%),2021,5.28
Cuba,RE share of electricity generation (%),2022,4.96
Cuba,RE share of electricity generation (%),2023,4.69
Cuba,RE share of electricity generation (%),2024,-
Curaçao,RE share of electricity capacity (%),2019,22.47
Curaçao,RE share of electricity capacity (%),2020,22.85
Curaçao,RE share of electricity capacity (%),2021,22.85
Curaçao,RE share of electricity capacity (%),2022,22.85
Curaçao,RE share of electricity capacity (%),2023,22.89
Curaçao,RE share of electricity capacity (%),2024,29.17
Curaçao,RE share of electricity generation (%),2019,26.72
Curaçao,RE share of electricity generation (%),2020,24.18
Curaçao,RE share of electricity generation (%),2021,24.1
Curaçao,RE share of electricity generation (%),2022,22.44
Curaçao,RE share of electricity generation (%),2023,21.48
Curaçao,RE share of electricity generation (%),2024,-
Cyprus,RE share of electricity capacity (%),2019,17.68
Cyprus,RE share of electricity capacity (%),2020,21.06
Cyprus,RE share of electricity capacity (%),2021,24.47
Cyprus,RE share of electricity capacity (%),2022,28.45
Cyprus,RE share of electricity capacity (%),2023,33.39
Cyprus,RE share of electricity capacity (%),2024,37.43
Cyprus,RE share of electricity generation (%),2019,10.01
Cyprus,RE share of electricity generation (%),2020,12.3
Cyprus,RE share of electricity generation (%),2021,15.13
Cyprus,RE share of electricity generation (%),2022,16.78
Cyprus,RE share of electricity generation (%),2023,20.51
Cyprus,RE share of electricity generation (%),2024,-
Czechia,RE share of electricity capacity (%),2019,19.76
Czechia,RE share of electricity capacity (%),2020,20.57
Czechia,RE share of electricity capacity (%),2021,21.38
Czechia,RE share of electricity capacity (%),2022,22.35
Czechia,RE share of electricity capacity (%),2023,25.06
Czechia,RE share of electricity capacity (%),2024,27.9
Czechia,RE share of electricity generation (%),2019,11.55
Czechia,RE share of electricity generation (%),2020,12.7
Czechia,RE share of electricity generation (%),2021,12.52
Czechia,RE share of electricity generation (%),2022,12.69
Czechia,RE share of electricity generation (%),2023,14.48
Czechia,RE share of electricity generation (%),2024,-
Denmark,RE share of electricity capacity (%),2019,61.32
Denmark,RE share of electricity capacity (%),2020,63.78
Denmark,RE share of electricity capacity (%),2021,67.12
Denmark,RE share of electricity capacity (%),2022,69.18
Denmark,RE share of electricity capacity (%),2023,70.21
Denmark,RE share of electricity capacity (%),2024,75.45
Denmark,RE share of electricity generation (%),2019,78.17
Denmark,RE share of electricity generation (%),2020,81.61
Denmark,RE share of electricity generation (%),2021,78.96
Denmark,RE share of electricity generation (%),2022,81.18
Denmark,RE share of electricity generation (%),2023,86.6
Denmark,RE share of electricity generation (%),2024,-
Djibouti,RE share of electricity capacity (%),2019,0.35
Djibouti,RE share of electricity capacity (%),2020,0.35
Djibouti,RE share of electricity capacity (%),2021,14.24
Djibouti,RE share of electricity capacity (%),2022,14.24
Djibouti,RE share of electricity capacity (%),2023,39.54
Djibouti,RE share of electricity capacity (%),2024,39.54
Djibouti,RE share of electricity generation (%),2019,0.76
Djibouti,RE share of electricity generation (%),2020,0.56
Djibouti,RE share of electricity generation (%),2021,35.93
Djibouti,RE share of electricity generation (%),2022,35.39
Djibouti,RE share of electricity generation (%),2023,35.03
Djibouti,RE share of electricity generation (%),2024,-
Dominica,RE share of electricity capacity (%),2019,26.34
Dominica,RE share of electricity capacity (%),2020,24.96
Dominica,RE share of electricity capacity (%),2021,24.96
Dominica,RE share of electricity capacity (%),2022,27.57
Dominica,RE share of electricity capacity (%),2023,30.15
Dominica,RE share of electricity capacity (%),2024,30.17
Dominica,RE share of electricity generation (%),2019,22.27
Dominica,RE share of electricity generation (%),2020,20.38
Dominica,RE share of electricity generation (%),2021,20.29
Dominica,RE share of electricity generation (%),2022,23.17
Dominica,RE share of electricity generation (%),2023,19.29
Dominica,RE share of electricity generation (%),2024,-
Dominican Republic (the),RE share of electricity capacity (%),2019,25.77
Dominican Republic (the),RE share of electricity capacity (%),2020,26.45
Dominican Republic (the),RE share of electricity capacity (%),2021,28.26
Dominican Republic (the),RE share of electricity capacity (%),2022,31.17
Dominican Republic (the),RE share of electricity capacity (%),2023,33.94
Dominican Republic (the),RE share of electricity capacity (%),2024,37.44
Dominican Republic (the),RE share of electricity generation (%),2019,12.69
Dominican Republic (the),RE share of electricity generation (%),2020,15.87
Dominican Republic (the),RE share of electricity generation (%),2021,17.23
Dominican Republic (the),RE share of electricity generation (%),2022,17.82
Dominican Republic (the),RE share of electricity generation (%),2023,17.17
Dominican Republic (the),RE share of electricity generation (%),2024,-
Ecuador,RE share of electricity capacity (%),2019,60.76
Ecuador,RE share of electricity capacity (%),2020,60.82
Ecuador,RE share of electricity capacity (%),2021,60.34
Ecuador,RE share of electricity capacity (%),2022,61.12
Ecuador,RE share of electricity capacity (%),2023,61.2
Ecuador,RE share of electricity capacity (%),2024,60.24
Ecuador,RE share of electricity generation (%),2019,78.11
Ecuador,RE share of electricity generation (%),2020,79.74
Ecuador,RE share of electricity generation (%),2021,81
Ecuador,RE share of electricity generation (%),2022,76.11
Ecuador,RE share of electricity generation (%),2023,73.4
Ecuador,RE share of electricity generation (%),2024,-
Egypt,RE share of electricity capacity (%),2019,9.74
Egypt,RE share of electricity capacity (%),2020,10.03
Egypt,RE share of electricity capacity (%),2021,10.5
Egypt,RE share of electricity capacity (%),2022,10.5
Egypt,RE share of electricity capacity (%),2023,11.16
Egypt,RE share of electricity capacity (%),2024,12.67
Egypt,RE share of electricity generation (%),2019,8.97
Egypt,RE share of electricity generation (%),2020,12.18
Egypt,RE share of electricity generation (%),2021,12.31
Egypt,RE share of electricity generation (%),2022,12.23
Egypt,RE share of electricity generation (%),2023,11.79
Egypt,RE share of electricity generation (%),2024,-
El Salvador,RE share of electricity capacity (%),2019,65.91
El Salvador,RE share of electricity capacity (%),2020,67.38
El Salvador,RE share of electricity capacity (%),2021,68.47
El Salvador,RE share of electricity capacity (%),2022,59.73
El Salvador,RE share of electricity capacity (%),2023,61.5
El Salvador,RE share of electricity capacity (%),2024,61.58
El Salvador,RE share of electricity generation (%),2019,71.49
El Salvador,RE share of electricity generation (%),2020,84.73
El Salvador,RE share of electricity generation (%),2021,86.08
El Salvador,RE share of electricity generation (%),2022,78.29
El Salvador,RE share of electricity generation (%),2023,61.67
El Salvador,RE share of electricity generation (%),2024,-
Equatorial Guinea,RE share of electricity capacity (%),2019,31.75
Equatorial Guinea,RE share of electricity capacity (%),2020,31.75
Equatorial Guinea,RE share of electricity capacity (%),2021,31.73
Equatorial Guinea,RE share of electricity capacity (%),2022,31.7
Equatorial Guinea,RE share of electricity capacity (%),2023,31.7
Equatorial Guinea,RE share of electricity capacity (%),2024,31.7
Equatorial Guinea,RE share of electricity generation (%),2019,45.72
Equatorial Guinea,RE share of electricity generation (%),2020,45.23
Equatorial Guinea,RE share of electricity generation (%),2021,43.67
Equatorial Guinea,RE share of electricity generation (%),2022,43.22
Equatorial Guinea,RE share of electricity generation (%),2023,34.49
Equatorial Guinea,RE share of electricity generation (%),2024,-
Eritrea,RE share of electricity capacity (%),2019,11.49
Eritrea,RE share of electricity capacity (%),2020,11.49
Eritrea,RE share of electricity capacity (%),2021,11.19
Eritrea,RE share of electricity capacity (%),2022,11.06
Eritrea,RE share of electricity capacity (%),2023,11.06
Eritrea,RE share of electricity capacity (%),2024,11.06
Eritrea,RE share of electricity generation (%),2019,12.71
Eritrea,RE share of electricity generation (%),2020,12.37
Eritrea,RE share of electricity generation (%),2021,11.75
Eritrea,RE share of electricity generation (%),2022,11.16
Eritrea,RE share of electricity generation (%),2023,11.16
Eritrea,RE share of electricity generation (%),2024,-
Estonia,RE share of electricity capacity (%),2019,26.06
Estonia,RE share of electricity capacity (%),2020,30.27
Estonia,RE share of electricity capacity (%),2021,42.03
Estonia,RE share of electricity capacity (%),2022,44.83
Estonia,RE share of electricity capacity (%),2023,51.07
Estonia,RE share of electricity capacity (%),2024,61.26
Estonia,RE share of electricity generation (%),2019,28.13
Estonia,RE share of electricity generation (%),2020,48.87
Estonia,RE share of electricity generation (%),2021,39.95
Estonia,RE share of electricity generation (%),2022,31.96
Estonia,RE share of electricity generation (%),2023,48.83
Estonia,RE share of electricity generation (%),2024,-
Eswatini,RE share of electricity capacity (%),2019,94.45
Eswatini,RE share of electricity capacity (%),2020,94.45
Eswatini,RE share of electricity capacity (%),2021,94.74
Eswatini,RE share of electricity capacity (%),2022,94.74
Eswatini,RE share of electricity capacity (%),2023,95.23
Eswatini,RE share of electricity capacity (%),2024,95.23
Eswatini,RE share of electricity generation (%),2019,98.45
Eswatini,RE share of electricity generation (%),2020,98.48
Eswatini,RE share of electricity generation (%),2021,98.6
Eswatini,RE share of electricity generation (%),2022,98.71
Eswatini,RE share of electricity generation (%),2023,98.99
Eswatini,RE share of electricity generation (%),2024,-
Ethiopia,RE share of electricity capacity (%),2019,97.72
Ethiopia,RE share of electricity capacity (%),2020,97.84
Ethiopia,RE share of electricity capacity (%),2021,97.86
Ethiopia,RE share of electricity capacity (%),2022,98.17
Ethiopia,RE share of electricity capacity (%),2023,98.25
Ethiopia,RE share of electricity capacity (%),2024,98.37
Ethiopia,RE share of electricity generation (%),2019,100
Ethiopia,RE share of electricity generation (%),2020,100
Ethiopia,RE share of electricity generation (%),2021,100
Ethiopia,RE share of electricity generation (%),2022,100
Ethiopia,RE share of electricity generation (%),2023,100
Ethiopia,RE share of electricity generation (%),2024,-
Falkland Islands (Malvinas),RE share of electricity capacity (%),2019,30.78
Falkland Islands (Malvinas),RE share of electricity capacity (%),2020,19.91
Falkland Islands (Malvinas),RE share of electricity capacity (%),2021,19.91
Falkland Islands (Malvinas),RE share of electricity capacity (%),2022,19.91
Falkland Islands (Malvinas),RE share of electricity capacity (%),2023,19.91
Falkland Islands (Malvinas),RE share of electricity capacity (%),2024,19.96
Falkland Islands (Malvinas),RE share of electricity generation (%),2019,29.3
Falkland Islands (Malvinas),RE share of electricity generation (%),2020,23.9
Falkland Islands (Malvinas),RE share of electricity generation (%),2021,24.45
Falkland Islands (Malvinas),RE share of electricity generation (%),2022,25.19
Falkland Islands (Malvinas),RE share of electricity generation (%),2023,24.84
Falkland Islands (Malvinas),RE share of electricity generation (%),2024,-
Faroe Islands,RE share of electricity capacity (%),2019,40.38
Faroe Islands,RE share of electricity capacity (%),2020,35.96
Faroe Islands,RE share of electricity capacity (%),2021,35.89
Faroe Islands,RE share of electricity capacity (%),2022,43.8
Faroe Islands,RE share of electricity capacity (%),2023,48.35
Faroe Islands,RE share of electricity capacity (%),2024,48.81
Faroe Islands,RE share of electricity generation (%),2019,40.43
Faroe Islands,RE share of electricity generation (%),2020,38.69
Faroe Islands,RE share of electricity generation (%),2021,38.08
Faroe Islands,RE share of electricity generation (%),2022,52.21
Faroe Islands,RE share of electricity generation (%),2023,50.26
Faroe Islands,RE share of electricity generation (%),2024,-
Fiji,RE share of electricity capacity (%),2019,55.73
Fiji,RE share of electricity capacity (%),2020,55.76
Fiji,RE share of electricity capacity (%),2021,56.65
Fiji,RE share of electricity capacity (%),2022,56.7
Fiji,RE share of electricity capacity (%),2023,56.81
Fiji,RE share of electricity capacity (%),2024,48.83
Fiji,RE share of electricity generation (%),2019,54.5
Fiji,RE share of electricity generation (%),2020,59.79
Fiji,RE share of electricity generation (%),2021,60.09
Fiji,RE share of electricity generation (%),2022,58.33
Fiji,RE share of electricity generation (%),2023,52.14
Fiji,RE share of electricity generation (%),2024,-
Finland,RE share of electricity capacity (%),2019,44.9
Finland,RE share of electricity capacity (%),2020,50.02
Finland,RE share of electricity capacity (%),2021,52.35
Finland,RE share of electricity capacity (%),2022,60.53
Finland,RE share of electricity capacity (%),2023,59.19
Finland,RE share of electricity capacity (%),2024,62.77
Finland,RE share of electricity generation (%),2019,46.44
Finland,RE share of electricity generation (%),2020,51.87
Finland,RE share of electricity generation (%),2021,52.93
Finland,RE share of electricity generation (%),2022,53.57
Finland,RE share of electricity generation (%),2023,51.88
Finland,RE share of electricity generation (%),2024,-
French Guiana,RE share of electricity capacity (%),2019,47.87
French Guiana,RE share of electricity capacity (%),2020,46.28
French Guiana,RE share of electricity capacity (%),2021,47.43
French Guiana,RE share of electricity capacity (%),2022,47.43
French Guiana,RE share of electricity capacity (%),2023,48.15
French Guiana,RE share of electricity capacity (%),2024,48.32
French Guiana,RE share of electricity generation (%),2019,49.66
French Guiana,RE share of electricity generation (%),2020,52.31
French Guiana,RE share of electricity generation (%),2021,69.81
French Guiana,RE share of electricity generation (%),2022,71.96
French Guiana,RE share of electricity generation (%),2023,65.5
French Guiana,RE share of electricity generation (%),2024,-
French Polynesia,RE share of electricity capacity (%),2019,29.96
French Polynesia,RE share of electricity capacity (%),2020,30.77
French Polynesia,RE share of electricity capacity (%),2021,30.41
French Polynesia,RE share of electricity capacity (%),2022,31.95
French Polynesia,RE share of electricity capacity (%),2023,32.1
French Polynesia,RE share of electricity capacity (%),2024,36.06
French Polynesia,RE share of electricity generation (%),2019,28.85
French Polynesia,RE share of electricity generation (%),2020,30.41
French Polynesia,RE share of electricity generation (%),2021,28.45
French Polynesia,RE share of electricity generation (%),2022,35.69
French Polynesia,RE share of electricity generation (%),2023,30.72
French Polynesia,RE share of electricity generation (%),2024,-
France,RE share of electricity capacity (%),2019,38.71
France,RE share of electricity capacity (%),2020,40.12
France,RE share of electricity capacity (%),2021,41.51
France,RE share of electricity capacity (%),2022,42.48
France,RE share of electricity capacity (%),2023,44.87
France,RE share of electricity capacity (%),2024,47.42
France,RE share of electricity generation (%),2019,19.82
France,RE share of electricity generation (%),2020,23.53
France,RE share of electricity generation (%),2021,22.03
France,RE share of electricity generation (%),2022,23.96
France,RE share of electricity generation (%),2023,26.62
France,RE share of electricity generation (%),2024,-
Gabon,RE share of electricity capacity (%),2019,45.65
Gabon,RE share of electricity capacity (%),2020,45.65
Gabon,RE share of electricity capacity (%),2021,45.68
Gabon,RE share of electricity capacity (%),2022,45.68
Gabon,RE share of electricity capacity (%),2023,45.69
Gabon,RE share of electricity capacity (%),2024,46.52
Gabon,RE share of electricity generation (%),2019,41.07
Gabon,RE share of electricity generation (%),2020,38.07
Gabon,RE share of electricity generation (%),2021,38.08
Gabon,RE share of electricity generation (%),2022,38.05
Gabon,RE share of electricity generation (%),2023,38.05
Gabon,RE share of electricity generation (%),2024,-
Gambia (the),RE share of electricity capacity (%),2019,2.1
Gambia (the),RE share of electricity capacity (%),2020,2.09
Gambia (the),RE share of electricity capacity (%),2021,1.85
Gambia (the),RE share of electricity capacity (%),2022,1.8
Gambia (the),RE share of electricity capacity (%),2023,1.81
Gambia (the),RE share of electricity capacity (%),2024,13.97
Gambia (the),RE share of electricity generation (%),2019,1.46
Gambia (the),RE share of electricity generation (%),2020,1.37
Gambia (the),RE share of electricity generation (%),2021,1.27
Gambia (the),RE share of electricity generation (%),2022,1.09
Gambia (the),RE share of electricity generation (%),2023,1.01
Gambia (the),RE share of electricity generation (%),2024,-
Georgia,RE share of electricity capacity (%),2019,78.23
Georgia,RE share of electricity capacity (%),2020,73.8
Georgia,RE share of electricity capacity (%),2021,74.06
Georgia,RE share of electricity capacity (%),2022,74.29
Georgia,RE share of electricity capacity (%),2023,74.83
Georgia,RE share of electricity capacity (%),2024,74.99
Georgia,RE share of electricity generation (%),2019,76.05
Georgia,RE share of electricity generation (%),2020,74.74
Georgia,RE share of electricity generation (%),2021,81.22
Georgia,RE share of electricity generation (%),2022,79.57
Georgia,RE share of electricity generation (%),2023,76.06
Georgia,RE share of electricity generation (%),2024,-
Germany,RE share of electricity capacity (%),2019,53.74
Germany,RE share of electricity capacity (%),2020,55.99
Germany,RE share of electricity capacity (%),2021,56.86
Germany,RE share of electricity capacity (%),2022,58.35
Germany,RE share of electricity capacity (%),2023,62.18
Germany,RE share of electricity capacity (%),2024,64.76
Germany,RE share of electricity generation (%),2019,39.6
Germany,RE share of electricity generation (%),2020,43.7
Germany,RE share of electricity generation (%),2021,39.41
Germany,RE share of electricity generation (%),2022,43.57
Germany,RE share of electricity generation (%),2023,52.77
Germany,RE share of electricity generation (%),2024,-
Ghana,RE share of electricity capacity (%),2019,32.54
Ghana,RE share of electricity capacity (%),2020,31.85
Ghana,RE share of electricity capacity (%),2021,31.36
Ghana,RE share of electricity capacity (%),2022,31.04
Ghana,RE share of electricity capacity (%),2023,31.27
Ghana,RE share of electricity capacity (%),2024,30.21
Ghana,RE share of electricity generation (%),2019,40.65
Ghana,RE share of electricity generation (%),2020,36.55
Ghana,RE share of electricity generation (%),2021,34.56
Ghana,RE share of electricity generation (%),2022,35.88
Ghana,RE share of electricity generation (%),2023,36.2
Ghana,RE share of electricity generation (%),2024,-
Greece,RE share of electricity capacity (%),2019,48.23
Greece,RE share of electricity capacity (%),2020,52.21
Greece,RE share of electricity capacity (%),2021,56.32
Greece,RE share of electricity capacity (%),2022,56.44
Greece,RE share of electricity capacity (%),2023,60.07
Greece,RE share of electricity capacity (%),2024,65.83
Greece,RE share of electricity generation (%),2019,33.1
Greece,RE share of electricity generation (%),2020,36.38
Greece,RE share of electricity generation (%),2021,40.46
Greece,RE share of electricity generation (%),2022,42.62
Greece,RE share of electricity generation (%),2023,48.85
Greece,RE share of electricity generation (%),2024,-
Greenland,RE share of electricity capacity (%),2019,48.8
Greenland,RE share of electricity capacity (%),2020,48.86
Greenland,RE share of electricity capacity (%),2021,48.93
Greenland,RE share of electricity capacity (%),2022,48.94
Greenland,RE share of electricity capacity (%),2023,48.94
Greenland,RE share of electricity capacity (%),2024,48.97
Greenland,RE share of electricity generation (%),2019,74.97
Greenland,RE share of electricity generation (%),2020,74.33
Greenland,RE share of electricity generation (%),2021,77.04
Greenland,RE share of electricity generation (%),2022,77.91
Greenland,RE share of electricity generation (%),2023,76.9
Greenland,RE share of electricity generation (%),2024,-
Grenada,RE share of electricity capacity (%),2019,5.82
Grenada,RE share of electricity capacity (%),2020,6.57
Grenada,RE share of electricity capacity (%),2021,6.25
Grenada,RE share of electricity capacity (%),2022,6.25
Grenada,RE share of electricity capacity (%),2023,6.45
Grenada,RE share of electricity capacity (%),2024,5.53
Grenada,RE share of electricity generation (%),2019,1.63
Grenada,RE share of electricity generation (%),2020,1.97
Grenada,RE share of electricity generation (%),2021,1.97
Grenada,RE share of electricity generation (%),2022,1.74
Grenada,RE share of electricity generation (%),2023,1.69
Grenada,RE share of electricity generation (%),2024,-
Guadeloupe,RE share of electricity capacity (%),2019,32.23
Guadeloupe,RE share of electricity capacity (%),2020,37.15
Guadeloupe,RE share of electricity capacity (%),2021,38.51
Guadeloupe,RE share of electricity capacity (%),2022,39.27
Guadeloupe,RE share of electricity capacity (%),2023,39.51
Guadeloupe,RE share of electricity capacity (%),2024,39.62
Guadeloupe,RE share of electricity generation (%),2019,22.16
Guadeloupe,RE share of electricity generation (%),2020,23.45
Guadeloupe,RE share of electricity generation (%),2021,33.84
Guadeloupe,RE share of electricity generation (%),2022,34.82
Guadeloupe,RE share of electricity generation (%),2023,35.45
Guadeloupe,RE share of electricity generation (%),2024,-
Guam,RE share of electricity capacity (%),2019,8.7
Guam,RE share of electricity capacity (%),2020,9.02
Guam,RE share of electricity capacity (%),2021,9.35
Guam,RE share of electricity capacity (%),2022,19.99
Guam,RE share of electricity capacity (%),2023,20.01
Guam,RE share of electricity capacity (%),2024,19.28
Guam,RE share of electricity generation (%),2019,4.47
Guam,RE share of electricity generation (%),2020,4.7
Guam,RE share of electricity generation (%),2021,4.81
Guam,RE share of electricity generation (%),2022,8.29
Guam,RE share of electricity generation (%),2023,8.68
Guam,RE share of electricity generation (%),2024,-
Guatemala,RE share of electricity capacity (%),2019,69.7
Guatemala,RE share of electricity capacity (%),2020,69.64
Guatemala,RE share of electricity capacity (%),2021,70.59
Guatemala,RE share of electricity capacity (%),2022,70.63
Guatemala,RE share of electricity capacity (%),2023,70.68
Guatemala,RE share of electricity capacity (%),2024,70.68
Guatemala,RE share of electricity generation (%),2019,62.74
Guatemala,RE share of electricity generation (%),2020,76.88
Guatemala,RE share of electricity generation (%),2021,73.29
Guatemala,RE share of electricity generation (%),2022,79.07
Guatemala,RE share of electricity generation (%),2023,68.88
Guatemala,RE share of electricity generation (%),2024,-
Guinea,RE share of electricity capacity (%),2019,62.52
Guinea,RE share of electricity capacity (%),2020,61.63
Guinea,RE share of electricity capacity (%),2021,65.96
Guinea,RE share of electricity capacity (%),2022,65.99
Guinea,RE share of electricity capacity (%),2023,66.01
Guinea,RE share of electricity capacity (%),2024,66.01
Guinea,RE share of electricity generation (%),2019,63.9
Guinea,RE share of electricity generation (%),2020,61.85
Guinea,RE share of electricity generation (%),2021,88.13
Guinea,RE share of electricity generation (%),2022,90.64
Guinea,RE share of electricity generation (%),2023,90.65
Guinea,RE share of electricity generation (%),2024,-
Guinea-Bissau,RE share of electricity capacity (%),2019,6.12
Guinea-Bissau,RE share of electricity capacity (%),2020,5.92
Guinea-Bissau,RE share of electricity capacity (%),2021,6.83
Guinea-Bissau,RE share of electricity capacity (%),2022,6.06
Guinea-Bissau,RE share of electricity capacity (%),2023,6.6
Guinea-Bissau,RE share of electricity capacity (%),2024,6.6
Guinea-Bissau,RE share of electricity generation (%),2019,10.62
Guinea-Bissau,RE share of electricity generation (%),2020,10.3
Guinea-Bissau,RE share of electricity generation (%),2021,11.8
Guinea-Bissau,RE share of electricity generation (%),2022,10.52
Guinea-Bissau,RE share of electricity generation (%),2023,11.43
Guinea-Bissau,RE share of electricity generation (%),2024,-
Guyana,RE share of electricity capacity (%),2019,16.64
Guyana,RE share of electricity capacity (%),2020,16.67
Guyana,RE share of electricity capacity (%),2021,14.55
Guyana,RE share of electricity capacity (%),2022,15.79
Guyana,RE share of electricity capacity (%),2023,16.81
Guyana,RE share of electricity capacity (%),2024,17.01
Guyana,RE share of electricity generation (%),2019,2.88
Guyana,RE share of electricity generation (%),2020,3.14
Guyana,RE share of electricity generation (%),2021,3.96
Guyana,RE share of electricity generation (%),2022,3.93
Guyana,RE share of electricity generation (%),2023,4.16
Guyana,RE share of electricity generation (%),2024,-
Haiti,RE share of electricity capacity (%),2019,17.18
Haiti,RE share of electricity capacity (%),2020,17.18
Haiti,RE share of electricity capacity (%),2021,17.2
Haiti,RE share of electricity capacity (%),2022,16.86
Haiti,RE share of electricity capacity (%),2023,16.98
Haiti,RE share of electricity capacity (%),2024,16.98
Haiti,RE share of electricity generation (%),2019,19.23
